Ayurvedic Medicine,Diseases Cured,Cautions and Precautions,Properties,Key Ingredients,Mode of Action
Amrutha Svarasa,Immune Support," avoid if you have diabetes, as it may lower blood sugar levels.","Immunomodulatory, Rejuvenative",Amrutha (Tinospora cordifolia) stem extract,Boosts immunity and has antioxidant effects.
Amrutha Svarasa,General Health," avoid if you have diabetes, as it may lower blood sugar levels.","Immunomodulatory, Rejuvenative",Amrutha (Tinospora cordifolia) stem extract,Boosts immunity and has antioxidant effects.
Haritaki Svarasa,Digestive Disorders,Individuals with diarrhea or loose stools should avoid it.,"Laxative, Detoxifying",Haritaki (Terminalia chebula) fruit extract,Acts as a laxative and may aid in digestion.
Haritaki Svarasa,Detoxification,Individuals with diarrhea or loose stools should avoid it.,"Laxative, Detoxifying",Haritaki (Terminalia chebula) fruit extract,Acts as a laxative and may aid in digestion.
Shatavari Svarasa,Female Reproductive Health, Not recommended during pregnancy without medical supervision.,"Galactagogue, Hormonal Balance",Shatavari (Asparagus racemosus) root extract,Supports female reproductive health and has antioxidant properties.
Shatavari Svarasa,Lactation Support, Not recommended during pregnancy without medical supervision.,"Galactagogue, Hormonal Balance",Shatavari (Asparagus racemosus) root extract,Supports female reproductive health and has antioxidant properties.
Bilva Svarasa,Digestive Disorders,Individuals with constipation should use it cautiously.,"Astringent, Anti-diarrheal",Bilva (Aegle marmelos) fruit extract,May help in digestive disorders and has anti-inflammatory effects.
Bilva Svarasa,Diarrhea,Individuals with constipation should use it cautiously.,"Astringent, Anti-diarrheal",Bilva (Aegle marmelos) fruit extract,May help in digestive disorders and has anti-inflammatory effects.
Bilva Svarasa,Dysentery,Individuals with constipation should use it cautiously.,"Astringent, Anti-diarrheal",Bilva (Aegle marmelos) fruit extract,May help in digestive disorders and has anti-inflammatory effects.
Triphala Svarasa,Digestive Health,People with chronic digestive issues should consult a healthcare professional.,"Digestive, Mild Laxative","Triphala (Amla, Haritaki, Bibhitaki) fruit extracts",Supports digestive health and may act as a mild laxative.
Triphala Svarasa,Constipation,People with chronic digestive issues should consult a healthcare professional.,"Digestive, Mild Laxative","Triphala (Amla, Haritaki, Bibhitaki) fruit extracts",Supports digestive health and may act as a mild laxative.
Triphala Svarasa,Detoxification,People with chronic digestive issues should consult a healthcare professional.,"Digestive, Mild Laxative","Triphala (Amla, Haritaki, Bibhitaki) fruit extracts",Supports digestive health and may act as a mild laxative.
Amalaki Svarasa,Digestive Disorders, avoid if you have bleeding disorders or are on blood-thinning medications.,"Digestive, Immunomodulatory",Amalaki (Emblica officinalis) fruit extract,Rich in vitamin C and has antioxidant properties.
Amalaki Svarasa,Immune Support, avoid if you have bleeding disorders or are on blood-thinning medications.,"Digestive, Immunomodulatory",Amalaki (Emblica officinalis) fruit extract,Rich in vitamin C and has antioxidant properties.
Bilwadi Svarasa,Digestive Disorders,Not recommended for People with chronic digestive issues.,"Astringent, Anti-diarrheal",Bilwa (Aegle marmelos) fruit extract,May help in digestive disorders and has anti-inflammatory effects.
Bilwadi Svarasa,Diarrhea,Not recommended for People with chronic digestive issues.,"Astringent, Anti-diarrheal",Bilwa (Aegle marmelos) fruit extract,May help in digestive disorders and has anti-inflammatory effects.
Bilwadi Svarasa,Dysentery,Not recommended for People with chronic digestive issues.,"Astringent, Anti-diarrheal",Bilwa (Aegle marmelos) fruit extract,May help in digestive disorders and has anti-inflammatory effects.
Pippali Svarasa,Respiratory Disorders,People with peptic ulcers or gastritis should be cautious.,"Expectorant, Immunomodulatory",Pippali (Piper longum) fruit extract,Supports respiratory health and may improve digestion.
Pippali Svarasa,Cough,People with peptic ulcers or gastritis should be cautious.,"Expectorant, Immunomodulatory",Pippali (Piper longum) fruit extract,Supports respiratory health and may improve digestion.
Pippali Svarasa,Cold,People with peptic ulcers or gastritis should be cautious.,"Expectorant, Immunomodulatory",Pippali (Piper longum) fruit extract,Supports respiratory health and may improve digestion.
Methi Svarasa,Digestive Disorders,Individuals with allergies to fenugreek should avoid it.,"Hypoglycemic, Digestive",Methi (Trigonella foenum-graecum) seed extract,May help in blood sugar regulation and digestion.
Methi Svarasa,Blood Sugar Control,Individuals with allergies to fenugreek should avoid it.,"Hypoglycemic, Digestive",Methi (Trigonella foenum-graecum) seed extract,May help in blood sugar regulation and digestion.
Vidanga Svarasa,Digestive Disorders,avoid if you have liver disorders or are on liver medications.,"Digestive, Antiparasitic",Vidanga (Embelia ribes) fruit extract,May have anti-parasitic properties.
Vidanga Svarasa,Parasitic Infections,avoid if you have liver disorders or are on liver medications.,"Digestive, Antiparasitic",Vidanga (Embelia ribes) fruit extract,May have anti-parasitic properties.
Pudina Svarasa,Digestive Disorders,- Not recommended for people with acid reflux or gastroesophageal reflux disease (GERD).,"Carminative, Analgesic",Pudina (Mentha) leaf extract,Provides a cooling effect and may aid in digestion.
Pudina Svarasa,Nausea,- Not recommended for people with acid reflux or gastroesophageal reflux disease (GERD).,"Carminative, Analgesic",Pudina (Mentha) leaf extract,Provides a cooling effect and may aid in digestion.
Pudina Svarasa,Headache,- Not recommended for people with acid reflux or gastroesophageal reflux disease (GERD).,"Carminative, Analgesic",Pudina (Mentha) leaf extract,Provides a cooling effect and may aid in digestion.
Tulsi Svarasa,Cough,People with hypoglycemia (low blood sugar) should use it cautiously.,"Antimicrobial, Anti-inflammatory, Immunomodulatory",Holy Basil (Ocimum sanctum) leaves extract,Supports respiratory health and may have antioxidant effects.
Tulsi Svarasa,Cold,People with hypoglycemia (low blood sugar) should use it cautiously.,"Antimicrobial, Anti-inflammatory, Immunomodulatory",Holy Basil (Ocimum sanctum) leaves extract,Supports respiratory health and may have antioxidant effects.
Tulsi Svarasa,Respiratory Infections,People with hypoglycemia (low blood sugar) should use it cautiously.,"Antimicrobial, Anti-inflammatory, Immunomodulatory",Holy Basil (Ocimum sanctum) leaves extract,Supports respiratory health and may have antioxidant effects.
Tulsi Svarasa,Digestive Issues,People with hypoglycemia (low blood sugar) should use it cautiously.,"Antimicrobial, Anti-inflammatory, Immunomodulatory",Holy Basil (Ocimum sanctum) leaves extract,Supports respiratory health and may have antioxidant effects.
Amla Svarasa,Immune Boosting,Individuals with a history of kidney stones should consult a healthcare professional.,"Antioxidant, Immunomodulatory, Digestive",Indian Gooseberry (Emblica officinalis) fruit extract,Rich in vitamin C and has antioxidant properties.
Amla Svarasa,Hair and Skin Health,Individuals with a history of kidney stones should consult a healthcare professional.,"Antioxidant, Immunomodulatory, Digestive",Indian Gooseberry (Emblica officinalis) fruit extract,Rich in vitamin C and has antioxidant properties.
Amla Svarasa,Digestion,Individuals with a history of kidney stones should consult a healthcare professional.,"Antioxidant, Immunomodulatory, Digestive",Indian Gooseberry (Emblica officinalis) fruit extract,Rich in vitamin C and has antioxidant properties.
Shigru Svarasa,Joint Pain, Not recommended during pregnancy and breastfeeding.,"Anti-inflammatory, Analgesic",Shigru (Moringa oleifera) leaf extract,Supports joint health and may have anti-inflammatory effects.
Shigru Svarasa,Inflammation, Not recommended during pregnancy and breastfeeding.,"Anti-inflammatory, Analgesic",Shigru (Moringa oleifera) leaf extract,Supports joint health and may have anti-inflammatory effects.
Shigru Svarasa,Rheumatoid Arthritis, Not recommended during pregnancy and breastfeeding.,"Anti-inflammatory, Analgesic",Shigru (Moringa oleifera) leaf extract,Supports joint health and may have anti-inflammatory effects.
Ardusi Svarasa,Respiratory Disorders,People with hypothyroidism should be cautious.,"Bronchodilator, Expectorant",Ardusi (Adhatoda vasica) leaf extract,May have respiratory benefits and act as an expectorant.
Ardusi Svarasa,Cough,People with hypothyroidism should be cautious.,"Bronchodilator, Expectorant",Ardusi (Adhatoda vasica) leaf extract,May have respiratory benefits and act as an expectorant.
Ardusi Svarasa,Asthma,People with hypothyroidism should be cautious.,"Bronchodilator, Expectorant",Ardusi (Adhatoda vasica) leaf extract,May have respiratory benefits and act as an expectorant.
Nimbu Svarasa,Immune Support, avoid if you have acid reflux or GERD.,"Immunomodulatory, Digestive",Nimbu (Citrus limon) fruit juice,Rich in vitamin C and supports immunity.
Nimbu Svarasa,Scurvy, avoid if you have acid reflux or GERD.,"Immunomodulatory, Digestive",Nimbu (Citrus limon) fruit juice,Rich in vitamin C and supports immunity.
Nimbu Svarasa,Digestive Health, avoid if you have acid reflux or GERD.,"Immunomodulatory, Digestive",Nimbu (Citrus limon) fruit juice,Rich in vitamin C and supports immunity.
Bhringraj Svarasa,Hair Health,Individuals with liver disorders should consult a healthcare professional.,"Hair Tonic, Skin Rejuvenation",Bhringraj (Eclipta alba) leaf extract,May support hair and skin health.
Bhringraj Svarasa,Skin Conditions,Individuals with liver disorders should consult a healthcare professional.,"Hair Tonic, Skin Rejuvenation",Bhringraj (Eclipta alba) leaf extract,May support hair and skin health.
Aparajita Svarasa,Anxiety,Not recommended during pregnancy and breastfeeding.,"Anxiolytic, Sedative",Aparajita (Clitoria ternatea) flower extract,May have anti-inflammatory effects.
Aparajita Svarasa,Stress,Not recommended during pregnancy and breastfeeding.,"Anxiolytic, Sedative",Aparajita (Clitoria ternatea) flower extract,May have anti-inflammatory effects.
Aparajita Svarasa,Insomnia,Not recommended during pregnancy and breastfeeding.,"Anxiolytic, Sedative",Aparajita (Clitoria ternatea) flower extract,May have anti-inflammatory effects.
Aragwadha Svarasa,Skin Disorders,avoid if you have diarrhea or loose stools.,"Antiseptic, Wound Healing",Aragwadha (Cassia fistula) leaf extract,May help in skin conditions and have anti-inflammatory effects.
Aragwadha Svarasa,Wound Healing,avoid if you have diarrhea or loose stools.,"Antiseptic, Wound Healing",Aragwadha (Cassia fistula) leaf extract,May help in skin conditions and have anti-inflammatory effects.
Trikatu Svarasa,Digestive Disorders,People with stomach ulcers should avoid it.,"Digestive, Thermogenic","Trikatu (Ginger, Black Pepper, Long Pepper) extracts",May improve digestion and metabolic function.
Trikatu Svarasa,Metabolism Boost,People with stomach ulcers should avoid it.,"Digestive, Thermogenic","Trikatu (Ginger, Black Pepper, Long Pepper) extracts",May improve digestion and metabolic function.
Shankhpushpi Svarasa,Memory Enhancement,Individuals with low blood pressure should use it cautiously.,"Nootropic, Anxiolytic",Shankhpushpi (Convolvulus pluricaulis) plant extract,May have a calming effect on the nervous system.
Shankhpushpi Svarasa,Anxiety,Individuals with low blood pressure should use it cautiously.,"Nootropic, Anxiolytic",Shankhpushpi (Convolvulus pluricaulis) plant extract,May have a calming effect on the nervous system.
Shankhpushpi Svarasa,Stress,Individuals with low blood pressure should use it cautiously.,"Nootropic, Anxiolytic",Shankhpushpi (Convolvulus pluricaulis) plant extract,May have a calming effect on the nervous system.
Bala Svarasa,Muscle Strength,Not recommended for People with autoimmune diseases.,"Muscle Tonic, Rejuvenative",Bala (Sida cordifolia) root extract,May have anti-inflammatory and rejuvenating properties.
Bala Svarasa,Fatigue,Not recommended for People with autoimmune diseases.,"Muscle Tonic, Rejuvenative",Bala (Sida cordifolia) root extract,May have anti-inflammatory and rejuvenating properties.
Bala Svarasa,General Health,Not recommended for People with autoimmune diseases.,"Muscle Tonic, Rejuvenative",Bala (Sida cordifolia) root extract,May have anti-inflammatory and rejuvenating properties.
Lajjalu Svarasa,Vaginal Health, Individuals with allergies to the plant should avoid it.,"Uterine Tonic, Astringent",Lajjalu (Mimosa pudica) whole plant extract,May help in skin conditions and have antimicrobial effects.
Lajjalu Svarasa,Leucorrhea, Individuals with allergies to the plant should avoid it.,"Uterine Tonic, Astringent",Lajjalu (Mimosa pudica) whole plant extract,May help in skin conditions and have antimicrobial effects.
Lajjalu Svarasa,Menstrual Disorders, Individuals with allergies to the plant should avoid it.,"Uterine Tonic, Astringent",Lajjalu (Mimosa pudica) whole plant extract,May help in skin conditions and have antimicrobial effects.
Manjistha Svarasa,Blood Purification,avoid if you have kidney stones or kidney disorders.,"Blood Cleanser, Skin Rejuvenation",Manjistha (Rubia cordifolia) root extract,May support skin health and have anti-inflammatory effects.
Manjistha Svarasa,Skin Health,avoid if you have kidney stones or kidney disorders.,"Blood Cleanser, Skin Rejuvenation",Manjistha (Rubia cordifolia) root extract,May support skin health and have anti-inflammatory effects.
Vidari Kanda Svarasa,Male Reproductive Health,"Pregnancy, Allergic reactions","Aphrodisiac, Energizing",Vidari Kanda (Pueraria tuberosa) root extract,"Adaptogenic, Immunomodulatory"
Vidari Kanda Svarasa,Energy,"Pregnancy, Allergic reactions","Aphrodisiac, Energizing",Vidari Kanda (Pueraria tuberosa) root extract,"Adaptogenic, Immunomodulatory"
Bilva Patra Svarasa,Digestive Disorders,"Pregnancy, Hypotension, Heart disorders","Astringent, Anti-diarrheal",Bilva Patra (Aegle marmelos) leaf extract,"Antidiarrheal, Antispasmodic"
Bilva Patra Svarasa,Diarrhea,"Pregnancy, Hypotension, Heart disorders","Astringent, Anti-diarrheal",Bilva Patra (Aegle marmelos) leaf extract,"Antidiarrheal, Antispasmodic"
Bilva Patra Svarasa,Dysentery,"Pregnancy, Hypotension, Heart disorders","Astringent, Anti-diarrheal",Bilva Patra (Aegle marmelos) leaf extract,"Antidiarrheal, Antispasmodic"
Kapikacchu Svarasa,Male Reproductive Health,"Pregnancy, Psychiatric disorders","Aphrodisiac, Energizing",Kapikacchu (Mucuna pruriens) seed extract,"Aphrodisiac, Neuroprotective"
Kapikacchu Svarasa,Libido,"Pregnancy, Psychiatric disorders","Aphrodisiac, Energizing",Kapikacchu (Mucuna pruriens) seed extract,"Aphrodisiac, Neuroprotective"
Kapikacchu Svarasa,Vitality,"Pregnancy, Psychiatric disorders","Aphrodisiac, Energizing",Kapikacchu (Mucuna pruriens) seed extract,"Aphrodisiac, Neuroprotective"
Khadir Svarasa,Oral Health,"Pregnancy, Diabetes, Hypotension","Astringent, Antiseptic",Khadir (Acacia catechu) heartwood extract,"Antioxidant, Antimicrobial"
Khadir Svarasa,Gum Problems,"Pregnancy, Diabetes, Hypotension","Astringent, Antiseptic",Khadir (Acacia catechu) heartwood extract,"Antioxidant, Antimicrobial"
Khadir Svarasa,Skin Disorders,"Pregnancy, Diabetes, Hypotension","Astringent, Antiseptic",Khadir (Acacia catechu) heartwood extract,"Antioxidant, Antimicrobial"
Musta Svarasa,Digestive Disorders,"Pregnancy, Gastrointestinal disorders","Digestive, Antidiarrheal",Musta (Cyperus rotundus) rhizome extract,"Antispasmodic, Anti-inflammatory"
Musta Svarasa,Diarrhea,"Pregnancy, Gastrointestinal disorders","Digestive, Antidiarrheal",Musta (Cyperus rotundus) rhizome extract,"Antispasmodic, Anti-inflammatory"
Musta Svarasa,Dysentery,"Pregnancy, Gastrointestinal disorders","Digestive, Antidiarrheal",Musta (Cyperus rotundus) rhizome extract,"Antispasmodic, Anti-inflammatory"
Pippali Moola Svarasa,Respiratory Disorders,"Pregnancy, Gastric ulcers","Expectorant, Immunomodulatory",Pippali Moola (Piper longum root) extract,"Digestive, Respiratory support"
Pippali Moola Svarasa,Cough,"Pregnancy, Gastric ulcers","Expectorant, Immunomodulatory",Pippali Moola (Piper longum root) extract,"Digestive, Respiratory support"
Pippali Moola Svarasa,Cold,"Pregnancy, Gastric ulcers","Expectorant, Immunomodulatory",Pippali Moola (Piper longum root) extract,"Digestive, Respiratory support"
Haritaki Moola Svarasa,Digestive Disorders,"Pregnancy, Diarrhea, Hypotension","Laxative, Digestive",Haritaki Moola (Terminalia chebula root) extract,"Laxative, Detoxifying"
Haritaki Moola Svarasa,Constipation,"Pregnancy, Diarrhea, Hypotension","Laxative, Digestive",Haritaki Moola (Terminalia chebula root) extract,"Laxative, Detoxifying"
Amalaki Moola Svarasa,Digestive Disorders,"Pregnancy, Hypotension, Bleeding disorders","Digestive, Immunomodulatory",Amalaki Moola (Emblica officinalis root) extract,"Antioxidant, Immunity booster"
Amalaki Moola Svarasa,Immune Support,"Pregnancy, Hypotension, Bleeding disorders","Digestive, Immunomodulatory",Amalaki Moola (Emblica officinalis root) extract,"Antioxidant, Immunity booster"
Methi Moola Svarasa,Digestive Disorders,"Pregnancy, Allergic reactions","Hypoglycemic, Digestive",Methi Moola (Trigonella foenum-graecum root) extract,"Anti-inflammatory, Galactagogue"
Methi Moola Svarasa,Blood Sugar Control,"Pregnancy, Allergic reactions","Hypoglycemic, Digestive",Methi Moola (Trigonella foenum-graecum root) extract,"Anti-inflammatory, Galactagogue"
Tulsi Moola Svarasa,Cough,"Pregnancy, Hypotension, Diabetes","Antimicrobial, Immunomodulatory",Tulsi Moola (Ocimum sanctum root) extract,"Immunomodulatory, Respiratory support"
Tulsi Moola Svarasa,Cold,"Pregnancy, Hypotension, Diabetes","Antimicrobial, Immunomodulatory",Tulsi Moola (Ocimum sanctum root) extract,"Immunomodulatory, Respiratory support"
Tulsi Moola Svarasa,Respiratory Infections,"Pregnancy, Hypotension, Diabetes","Antimicrobial, Immunomodulatory",Tulsi Moola (Ocimum sanctum root) extract,"Immunomodulatory, Respiratory support"
Neem Moola Svarasa,Skin Disorders,"Pregnancy, Liver disorders","Antibacterial, Blood Cleanser",Neem Moola (Azadirachta indica root) extract,"Antimicrobial, Skin health"
Neem Moola Svarasa,Blood Purification,"Pregnancy, Liver disorders","Antibacterial, Blood Cleanser",Neem Moola (Azadirachta indica root) extract,"Antimicrobial, Skin health"
Guduchi Svarasa,Immune Support,"Pregnancy, Autoimmune disorders","Immunomodulatory, Digestive",Guduchi (Tinospora cordifolia) stem extract,"Immunomodulatory, Antioxidant"
Guduchi Svarasa,Fever,"Pregnancy, Autoimmune disorders","Immunomodulatory, Digestive",Guduchi (Tinospora cordifolia) stem extract,"Immunomodulatory, Antioxidant"
Guduchi Svarasa,Digestive Health,"Pregnancy, Autoimmune disorders","Immunomodulatory, Digestive",Guduchi (Tinospora cordifolia) stem extract,"Immunomodulatory, Antioxidant"
Bilva Moola Svarasa,Digestive Disorders,"Pregnancy, Hypotension, Heart disorders","Astringent, Anti-diarrheal",Bilva Moola (Aegle marmelos root) extract,"Antispasmodic, Anti-inflammatory"
Bilva Moola Svarasa,Diarrhea,"Pregnancy, Hypotension, Heart disorders","Astringent, Anti-diarrheal",Bilva Moola (Aegle marmelos root) extract,"Antispasmodic, Anti-inflammatory"
Bilva Moola Svarasa,Dysentery,"Pregnancy, Hypotension, Heart disorders","Astringent, Anti-diarrheal",Bilva Moola (Aegle marmelos root) extract,"Antispasmodic, Anti-inflammatory"
Vidanga Moola Svarasa,Digestive Disorders,"Pregnancy, Gastrointestinal disorders","Digestive, Antiparasitic",Vidanga Moola (Embelia ribes root) extract,"Anthelmintic, Digestive support"
Vidanga Moola Svarasa,Parasitic Infections,"Pregnancy, Gastrointestinal disorders","Digestive, Antiparasitic",Vidanga Moola (Embelia ribes root) extract,"Anthelmintic, Digestive support"
Pudina Moola Svarasa,Digestive Disorders,"Pregnancy, Gastroesophageal reflux disease (GERD)","Carminative, Analgesic",Pudina Moola (Mentha root) extract,"Digestive, Respiratory support"
Pudina Moola Svarasa,Nausea,"Pregnancy, Gastroesophageal reflux disease (GERD)","Carminative, Analgesic",Pudina Moola (Mentha root) extract,"Digestive, Respiratory support"
Pudina Moola Svarasa,Headache,"Pregnancy, Gastroesophageal reflux disease (GERD)","Carminative, Analgesic",Pudina Moola (Mentha root) extract,"Digestive, Respiratory support"
Lavang Svarasa,Oral Health,"Pregnancy, Bleeding disorders","Analgesic, Antiseptic",Lavang (Syzygium aromaticum) bud extract,"Analgesic, Antimicrobial"
Lavang Svarasa,Toothache,"Pregnancy, Bleeding disorders","Analgesic, Antiseptic",Lavang (Syzygium aromaticum) bud extract,"Analgesic, Antimicrobial"
Lavang Svarasa,Throat Infections,"Pregnancy, Bleeding disorders","Analgesic, Antiseptic",Lavang (Syzygium aromaticum) bud extract,"Analgesic, Antimicrobial"
Triphala Moola Svarasa,Digestive Health,"Pregnancy, Diarrhea, Hypotension","Digestive, Mild Laxative","Triphala Moola (Amla, Haritaki, Bibhitaki root) extract","Digestive, Detoxifying"
Triphala Moola Svarasa,Detoxification,"Pregnancy, Diarrhea, Hypotension","Digestive, Mild Laxative","Triphala Moola (Amla, Haritaki, Bibhitaki root) extract","Digestive, Detoxifying"
Trikatu Moola Svarasa,Digestive Disorders,"Pregnancy, Gastric ulcers","Digestive, Thermogenic","Trikatu Moola (Ginger, Black Pepper, Long Pepper root) extracts","Digestive, Metabolism booster"
Trikatu Moola Svarasa,Metabolism Boost,"Pregnancy, Gastric ulcers","Digestive, Thermogenic","Trikatu Moola (Ginger, Black Pepper, Long Pepper root) extracts","Digestive, Metabolism booster"
Vidari Kanda Moola Svarasa,Male Reproductive Health,"Pregnancy, Psychiatric disorders","Aphrodisiac, Energizing",Vidari Kanda Moola (Pueraria tuberosa root) extract,"Adaptogenic, Immunomodulatory"
Vidari Kanda Moola Svarasa,Energy,"Pregnancy, Psychiatric disorders","Aphrodisiac, Energizing",Vidari Kanda Moola (Pueraria tuberosa root) extract,"Adaptogenic, Immunomodulatory"
Anantmool Svarasa,Skin Disorders,"Pregnancy, Liver disorders","Blood Cleanser, Antimicrobial",Anantmool (Hemidesmus indicus) root extract,"Anti-inflammatory, Blood purifier"
Anantmool Svarasa,Blood Purification,"Pregnancy, Liver disorders","Blood Cleanser, Antimicrobial",Anantmool (Hemidesmus indicus) root extract,"Anti-inflammatory, Blood purifier"
Patala Svarasa,Menstrual Disorders,"Pregnancy, Hypotension, Bleeding disorders","Uterine Tonic, Hormonal Balance",Patala (Stereospermum suaveolens) root extract,"Anti-inflammatory, Blood purifier"
Patala Svarasa,Female Reproductive Health,"Pregnancy, Hypotension, Bleeding disorders","Uterine Tonic, Hormonal Balance",Patala (Stereospermum suaveolens) root extract,"Anti-inflammatory, Blood purifier"
Kadamba Svarasa,Skin Disorders,"Pregnancy, Hypotension, Heart disorders","Antiseptic, Wound Healing",Kadamba (Neolamarckia cadamba) flower extract,"Antispasmodic, Immunomodulatory"
Kadamba Svarasa,Wound Healing,"Pregnancy, Hypotension, Heart disorders","Antiseptic, Wound Healing",Kadamba (Neolamarckia cadamba) flower extract,"Antispasmodic, Immunomodulatory"
Shatapushpa Svarasa,Digestive Disorders,"Pregnancy, Allergic reactions","Carminative, Digestive",Shatapushpa (Foeniculum vulgare) seed extract,"Carminative, Anti-inflammatory"
Shatapushpa Svarasa,Flatulence,"Pregnancy, Allergic reactions","Carminative, Digestive",Shatapushpa (Foeniculum vulgare) seed extract,"Carminative, Anti-inflammatory"
Shatapushpa Svarasa,Bloating,"Pregnancy, Allergic reactions","Carminative, Digestive",Shatapushpa (Foeniculum vulgare) seed extract,"Carminative, Anti-inflammatory"
Guggulu Svarasa,Joint Pain,"Pregnancy, Bleeding disorders","Anti-inflammatory, Hypolipidemic",Guggulu (Commiphora mukul) gum resin extract,"Anti-inflammatory, Cholesterol control"
Guggulu Svarasa,Inflammation,"Pregnancy, Bleeding disorders","Anti-inflammatory, Hypolipidemic",Guggulu (Commiphora mukul) gum resin extract,"Anti-inflammatory, Cholesterol control"
Guggulu Svarasa,Cholesterol Control,"Pregnancy, Bleeding disorders","Anti-inflammatory, Hypolipidemic",Guggulu (Commiphora mukul) gum resin extract,"Anti-inflammatory, Cholesterol control"
Parijat Svarasa,Joint Pain,"Pregnancy, Hypotension, Heart disorders","Analgesic, Muscle Relaxant",Parijat (Nyctanthes arbor-tristis) leaf extract,"Anti-inflammatory, Analgesic"
Parijat Svarasa,Arthritis,"Pregnancy, Hypotension, Heart disorders","Analgesic, Muscle Relaxant",Parijat (Nyctanthes arbor-tristis) leaf extract,"Anti-inflammatory, Analgesic"
Parijat Svarasa,Muscle Relaxation,"Pregnancy, Hypotension, Heart disorders","Analgesic, Muscle Relaxant",Parijat (Nyctanthes arbor-tristis) leaf extract,"Anti-inflammatory, Analgesic"
Shankhapushpi Svarasa,Memory Enhancement,"Pregnancy, Psychiatric disorders","Nootropic, Anxiolytic",Shankhapushpi (Convolvulus pluricaulis) plant extract,"Memory enhancement, Anxiolytic"
Shankhapushpi Svarasa,Anxiety,"Pregnancy, Psychiatric disorders","Nootropic, Anxiolytic",Shankhapushpi (Convolvulus pluricaulis) plant extract,"Memory enhancement, Anxiolytic"
Shankhapushpi Svarasa,Stress,"Pregnancy, Psychiatric disorders","Nootropic, Anxiolytic",Shankhapushpi (Convolvulus pluricaulis) plant extract,"Memory enhancement, Anxiolytic"
Babool Svarasa,Oral Health,"Pregnancy, Hypotension","Astringent, Digestive",Babool (Acacia nilotica) bark extract,"Antimicrobial, Anti-inflammatory"
Babool Svarasa,Gum Problems,"Pregnancy, Hypotension","Astringent, Digestive",Babool (Acacia nilotica) bark extract,"Antimicrobial, Anti-inflammatory"
Babool Svarasa,Digestive Health,"Pregnancy, Hypotension","Astringent, Digestive",Babool (Acacia nilotica) bark extract,"Antimicrobial, Anti-inflammatory"
Gorakhmundi Svarasa,Joint Pain,"Pregnancy, Liver disorders","Anti-inflammatory, Analgesic",Gorakhmundi (Sphaeranthus indicus) whole plant extract,"Anti-inflammatory, Diuretic"
Gorakhmundi Svarasa,Inflammation,"Pregnancy, Liver disorders","Anti-inflammatory, Analgesic",Gorakhmundi (Sphaeranthus indicus) whole plant extract,"Anti-inflammatory, Diuretic"
Gorakhmundi Svarasa,Rheumatoid Arthritis,"Pregnancy, Liver disorders","Anti-inflammatory, Analgesic",Gorakhmundi (Sphaeranthus indicus) whole plant extract,"Anti-inflammatory, Diuretic"
Chirayata Svarasa,Fever,"Pregnancy, Hypotension, Heart disorders","Antipyretic, Hepatoprotective",Chirayata (Swertia chirata) whole plant extract,"Antipyretic, Antimalarial"
Chirayata Svarasa,Liver Disorders,"Pregnancy, Hypotension, Heart disorders","Antipyretic, Hepatoprotective",Chirayata (Swertia chirata) whole plant extract,"Antipyretic, Antimalarial"
Chirayata Svarasa,Digestive Health,"Pregnancy, Hypotension, Heart disorders","Antipyretic, Hepatoprotective",Chirayata (Swertia chirata) whole plant extract,"Antipyretic, Antimalarial"
Khadira Moola Svarasa,Oral Health,"Pregnancy, Diabetes, Hypotension","Astringent, Antiseptic",Khadira Moola (Acacia catechu root) extract,"Antioxidant, Antimicrobial"
Khadira Moola Svarasa,Gum Problems,"Pregnancy, Diabetes, Hypotension","Astringent, Antiseptic",Khadira Moola (Acacia catechu root) extract,"Antioxidant, Antimicrobial"
Khadira Moola Svarasa,Skin Disorders,"Pregnancy, Diabetes, Hypotension","Astringent, Antiseptic",Khadira Moola (Acacia catechu root) extract,"Antioxidant, Antimicrobial"
Daruharidra Svarasa,Skin Disorders,"Pregnancy, Allergic Reactions","Antibacterial, Digestive",Daruharidra (Berberis aristata) root extract,"Anti-inflammatory, Antimicrobial, Hepatoprotective"
Daruharidra Svarasa,Acne,"Pregnancy, Allergic Reactions","Antibacterial, Digestive",Daruharidra (Berberis aristata) root extract,"Anti-inflammatory, Antimicrobial, Hepatoprotective"
Daruharidra Svarasa,Digestive Health,"Pregnancy, Allergic Reactions","Antibacterial, Digestive",Daruharidra (Berberis aristata) root extract,"Anti-inflammatory, Antimicrobial, Hepatoprotective"
Amarnath Svarasa,Anemia,"Pregnancy, Liver Disease","Nutrient-Rich, Digestive",Amarnath (Amaranthus viridis) leaf extract,"Antioxidant, Immunomodulatory, Hepatoprotective"
Amarnath Svarasa,Nutritional Deficiency,"Pregnancy, Liver Disease","Nutrient-Rich, Digestive",Amarnath (Amaranthus viridis) leaf extract,"Antioxidant, Immunomodulatory, Hepatoprotective"
Amarnath Svarasa,Digestive Health,"Pregnancy, Liver Disease","Nutrient-Rich, Digestive",Amarnath (Amaranthus viridis) leaf extract,"Antioxidant, Immunomodulatory, Hepatoprotective"
Vatajatadi Svarasa,Joint Pain,"Pregnancy, Diabetes","Analgesic, Muscle Relaxant",Vatajatadi (Various herbs) blend extract,"Anti-inflammatory, Analgesic, Immunomodulatory"
